GII Rank,Country,Gender_Inequality_Index_GII,Maternal Mortality Ratio,Adolescent_Birth_Rate,Percent Representation in Parliament,Population_with_Secondary_Education_Female,Population with Secondary Education (Male),Labour_Force_Participation_Rate_Female,Labour Force Participation Rate (Male)
1,Norway,0.067,4,7.8,39.6,97.4,96.7,61,68.7
2,Australia,0.11,6,12.1,30.5,94.3,94.6,59,71.8
3,Switzerland,0.028,6,1.9,28.5,95,96.6,62,74.9
4,Denmark,0.048,5,5.1,38,95.5,96.6,59,66.4
5,Netherlands,0.062,6,6.2,36.9,87.7,90.5,58,70.6
6,Germany,0.041,7,3.8,36.9,96.3,97,54,66.4
6,Ireland,0.113,9,8.2,19.9,80.5,78.6,53,68.1
8,United States,0.28,28,31,19.4,95.1,94.8,56,68.9
9,Canada,0.129,11,14.5,28.2,100,100,62,71
9,New Zealand,0.157,8,25.3,31.4,95,95.3,62,73.8
11,Singapore,0.088,6,6,25.3,74.1,81,59,77.2
12,"Hong Kong, China (SAR)",0,0,3.3,0,72.2,79.2,51,67.8
13,Liechtenstein,0,0,0,20,0,0,0,0
14,Sweden,0.055,4,6.5,43.6,86.5,87.3,60,67.9
14,United Kingdom,0.177,8,25.8,23.5,99.8,99.9,56,68.7
16,Iceland,0.087,4,11.5,41.3,91,91.6,70,77.4
17,Korea (Republic of),0.125,27,2.2,16.3,77,89.1,50,72.1
18,Israel,0.101,2,7.8,22.5,84.4,87.3,58,69.1
19,Luxembourg,0.1,11,8.3,28.3,100,100,51,64.6
20,Japan,0.133,6,5.4,11.6,87,85.8,49,70.4
21,Belgium,0.063,6,6.7,42.4,77.5,82.9,48,59.3
22,France,0.088,12,5.7,25.7,78,83.2,51,61.6
23,Austria,0.053,4,4.1,30.3,100,100,55,67.7
24,Finland,0.075,4,9.2,42.5,100,100,56,64
25,Slovenia,0.016,7,0.6,27.7,95.8,98,52,63.2
26,Spain,0.095,4,10.6,38,66.8,73.1,52,65.8
27,Italy,0.068,4,4,30.1,71.2,80.5,40,59.5
28,Czech Republic,0.091,5,4.9,18.9,99.9,99.7,51,68.3
29,Greece,0.146,5,11.9,21,59.5,67,44,62.5
30,Estonia,0.164,11,16.8,19.8,100,100,56,68.9
31,Brunei Darussalam,0,27,23,0,63.9,67.8,53,75.3
32,Cyprus,0.124,10,5.5,12.5,76,81.7,56,71.1
32,Qatar,0.524,6,9.5,0,66.7,59,51,95.5
34,Andorra,0,0,0,50,49.5,49.3,0,0
35,Slovakia,0.164,7,15.9,18.7,99.1,99.5,51,68.6
36,Poland,0.138,3,12.2,22.1,79.4,85.5,49,64.9
37,Lithuania,0.125,11,10.6,23.4,89.1,94.3,56,67.3
37,Malta,0.227,9,18.2,13,68.6,78.2,38,66.3
39,Saudi Arabia,0.284,16,10.2,19.9,60.5,70.3,20,78.3
40,Argentina,0.376,69,54.4,36.8,56.3,57.6,48,75
41,United Arab Emirates,0.232,8,27.6,17.5,73.1,61.2,46,92
42,Chile,0.338,22,55.3,15.8,73.3,76.4,49,74.8
43,Portugal,0.111,8,12.6,31.3,47.7,48.2,55,66.2
44,Hungary,0.209,14,12.1,10.1,97.9,98.7,45,60
45,Bahrain,0.265,22,13.8,15,56.7,51.4,39,86.9
46,Latvia,0.167,13,13.5,18,98.9,99,55,67.6
47,Croatia,0.149,13,12.7,25.8,85,93.6,45,58.4
48,Kuwait,0.387,14,14.5,1.5,55.6,56.3,44,83.1
49,Montenegro,0.171,7,15.2,17.3,84.2,94.7,43,57.3
50,Belarus,0.151,1,20.6,30.1,87,92.2,50,63.1
50,Russian Federation,0.276,24,25.7,14.5,89.6,92.5,57,71.7
52,Oman,0.275,11,10.6,9.6,47.2,57.1,29,82.6
52,Romania,0.333,33,31,12,86.1,92,49,64.9
52,Uruguay,0.313,14,58.3,11.5,54.4,50.3,56,76.8
55,Bahamas,0.298,37,28.5,16.7,91.2,87.6,69,79.3
56,Kazakhstan,0.267,26,29.9,20.1,95.3,98.8,68,77.9
57,Barbados,0.357,52,48.4,19.6,89.5,87.7,66,76.6
58,Antigua and Barbuda,0,0,49.3,25.7,0,0,0,0
59,Bulgaria,0.212,5,35.9,20.4,93,95.7,48,59
60,Palau,0,0,0,10.3,0,0,0,0
60,Panama,0.454,85,78.5,19.3,54,49.9,49,81.8
62,Malaysia,0.209,29,5.7,14.2,65.1,71.3,44,75.5
63,Mauritius,0.419,73,30.9,11.6,49.4,58,44,74.2
64,Seychelles,0,0,56.3,43.8,66.9,66.6,0,0
64,Trinidad and Tobago,0.371,84,34.8,24.7,59.7,60.9,53,75.5
66,Serbia,0.176,16,16.9,34,58.4,73.6,44,60.9
67,Cuba,0.356,80,43.1,48.9,74.3,78.8,43,70
67,Lebanon,0.385,16,12,3.1,53,55.4,23,70.9
69,Costa Rica,0.349,38,60.8,33.3,50.7,50.5,47,79
69,Iran,0.515,23,31.6,3.1,62.2,67.6,17,73.6
71,Venezuela (Bolivarian Republic of),0.476,110,83.2,17,56.6,50.8,51,79.2
72,Turkey,0.359,20,30.9,14.4,39,60,29,70.8
73,Sri Lanka,0.37,29,16.9,5.8,72.7,76.4,35,76.3
74,Mexico,0.373,49,63.4,37.1,55.7,60.6,45,79.9
75,Brazil,0.457,69,70.8,9.6,54.6,52.4,59,80.8
76,Georgia,0.382,41,46.8,11.3,89.7,92.7,56,75.1
77,Saint Kitts and Nevis,0,0,0,6.7,0,0,0,0
78,Azerbaijan,0.303,26,40,15.6,93.7,97.4,63,69.6
79,Grenada,0,23,35.4,25,0,0,0,0
80,Jordan,0.473,50,26.5,11.6,69.5,78.5,16,66.6
81,The former Yugoslav Republic of Macedonia,0.164,7,18.3,33.3,40.2,55.6,43,67.5
81,Ukraine,0.286,23,25.7,11.8,91.7,95.9,53,66.9
83,Algeria,0.413,89,10,25.7,26.7,31,15,72.2
84,Peru,0.406,89,50.7,22.3,56.3,66.1,68,84.4
85,Albania,0.217,21,15.3,20.7,81.8,87.9,45,65.5
85,Armenia,0.318,29,27.1,10.7,94,95,54,72.6
85,Bosnia and Herzegovina,0.201,8,15.1,19.3,44.9,69.8,34,57.3
88,Ecuador,0.407,87,77,41.6,40.1,39.4,55,82.7
89,Saint Lucia,0,34,56.3,20.7,0,0,63,76.2
90,China,0.191,32,8.6,23.6,58.7,71.9,64,78.3
90,Fiji,0.418,59,42.8,14,64.2,64.5,38,72
90,Mongolia,0.325,68,18.7,14.9,85.3,84.1,57,69.3
93,Thailand,0.38,26,41,6.1,35.7,40.8,64,80.7
94,Dominica,0,0,0,21.9,29.7,23.2,0,0
94,Libya,0,15,2.5,16,55.5,41.9,30,76.4
96,Tunisia,0.24,46,4.6,31.3,32.8,46.1,25,70.9
97,Colombia,0.429,83,68.5,20.9,56.9,55.6,56,79.7
97,Saint Vincent and the Grenadines,0,45,54.5,13,0,0,56,78
99,Jamaica,0.43,80,70.1,16.7,74,70.2,56,70.9
100,Tonga,0.666,120,18.1,0,87.5,88.3,54,74.6
101,Belize,0.426,45,71.4,13.3,76.4,75.8,49,82.3
101,Dominican Republic,0.477,100,99.6,19.1,55.6,53.1,51,78.6
103,Suriname,0.463,130,35.2,11.8,44.6,47.1,40,68.8
104,Maldives,0.243,31,4.2,5.9,27.3,32.7,56,77.5
105,Samoa,0.457,58,28.3,6.1,64.3,60,24,58.4
106,Botswana,0.48,170,44.2,9.5,73.6,77.9,72,81.6
107,Moldova (Republic of),0.248,21,29.3,20.8,93.6,96.6,38,44.2
108,Egypt,0.573,45,43,2.2,43.9,60.6,24,74.8
109,Turkmenistan,0,61,18,25.8,0,0,47,76.9
110,Gabon,0.514,240,103,16.2,53.9,36.1,56,65.4
110,Indonesia,0.494,190,48.3,17.1,39.9,49.2,51,84.2
112,Paraguay,0.472,110,67,16.8,36.8,43,56,84.8
113,"Palestine, State of",0,0,45.8,0,53.9,59.4,15,66.4
114,Uzbekistan,0,36,38.8,16.4,0,0,48,75.6
115,Philippines,0.42,120,46.8,27.1,65.9,63.7,51,79.7
116,El Salvador,0.427,69,76,27.4,36.8,43.6,48,79
116,South Africa,0.407,140,50.9,40.7,72.7,75.9,44,60.5
116,Viet Nam,0.308,49,29,24.3,59.4,71.2,73,82.2
119,Bolivia (Plurinational State of),0.444,200,71.9,51.8,47.6,59.1,64,80.9
120,Kyrgyzstan,0.353,75,29.3,23.3,94.5,96.8,56,79.5
121,Iraq,0.539,67,68.7,26.5,27.8,50.2,15,69.8
122,Cabo Verde,0,53,70.6,20.8,0,0,52,83.7
123,Micronesia (Federated States of),0,96,18.6,0,0,0,0,0
124,Guyana,0.515,250,88.5,31.3,60.3,47.8,43,80.5
125,Nicaragua,0.449,100,100.8,39.1,39.4,38.3,47,80.3
126,Morocco,0.525,120,35.8,11,20.7,30.2,26,75.8
126,Namibia,0.401,130,54.9,37.7,33.3,34.4,55,63.7
128,Guatemala,0.533,140,97.2,13.3,21.9,23.2,49,88.2
129,Tajikistan,0.357,44,42.8,15.2,95.1,91.2,59,77.1
130,India,0.563,190,32.8,12.2,27,56.6,27,79.9
131,Honduras,0.48,120,84,25.8,28,25.8,43,82.9
132,Bhutan,0.457,120,40.9,8.3,34,34.5,67,77.2
133,Timor-Leste,0,270,52.2,38.5,0,0,25,50.8
134,Syrian Arab Republic,0.533,49,41.6,12.4,29.5,40.5,14,72.7
134,Vanuatu,0,86,44.8,0,0,0,62,80
136,Congo,0.593,410,126.7,11.5,39.7,47,68,73
137,Kiribati,0,130,16.6,8.7,0,0,0,0
138,Equatorial Guinea,0,290,112.6,19.7,0,0,81,92.2
139,Zambia,0.587,280,125.4,12.7,25.8,44,73,85.6
140,Ghana,0.554,380,58.4,10.9,45.2,64.7,67,71.4
141,Lao People's Democratic Republic,0,0,65,25,22.9,37,76,79.1
142,Bangladesh,0.503,170,80.6,20,34.1,41.3,57,84.1
143,Cambodia,0.477,170,44.3,19,9.9,22.9,79,86.5
143,Sao Tome and Principe,0,210,65.1,18.2,0,0,45,77.8
145,Kenya,0.552,400,93.6,20.8,25.3,31.4,62,72.4
145,Nepal,0.489,190,73.7,29.5,17.7,38.2,80,87.1
147,Pakistan,0.536,170,27.3,19.7,19.3,46.1,25,82.9
148,Myanmar,0.413,200,12.1,4.7,22.9,15.3,75,82.3
149,Angola,0,460,170.2,36.8,0,0,63,76.9
150,Swaziland,0.557,310,72,14.7,21.9,26,44,71.6
151,Tanzania (United Republic of),0.547,410,122.7,36,5.6,9.5,88,90.2
152,Nigeria,0,560,119.6,6.6,0,0,48,63.7
153,Cameroon,0.587,590,115.8,27.1,21.3,34.9,64,76.8
154,Madagascar,0,440,122.8,20.5,0,0,87,90.5
155,Zimbabwe,0.504,470,60.3,35.1,48.7,62,83,89.7
156,Mauritania,0.61,320,73.3,22.2,8.3,20.9,29,79.1
156,Solomon Islands,0,130,64.9,2,0,0,53,79
158,Papua New Guinea,0.611,220,62.1,2.7,7.6,14.5,70,74
159,Comoros,0,350,51.1,3,0,0,35,80.1
160,Yemen,0.744,270,47,0.7,8.6,26.7,25,72.2
161,Lesotho,0.541,490,89.4,26.8,21.9,19,59,73.5
162,Togo,0.588,450,91.5,17.6,16.1,40.3,81,81.3
163,Haiti,0.603,380,42,3.5,22.4,35.2,61,71
163,Rwanda,0.4,320,33.6,57.5,8,8.8,86,85.3
163,Uganda,0.538,360,126.6,35,22.9,33.5,76,79.2
166,Benin,0.614,340,90.2,8.4,11.3,27,68,78.3
167,Sudan,0.591,360,84,23.8,12.1,18.2,31,76
168,Djibouti,0,230,18.6,12.7,0,0,36,67.7
169,South Sudan,0,730,75.3,24.3,0,0,0,0
170,Senegal,0.528,320,94.4,42.7,7.2,15.4,66,88
171,Afghanistan,0.693,400,86.8,27.6,5.9,29.8,16,79.5
172,C̫te d'Ivoire,0.679,720,130.3,9.2,14,30.1,52,81.4
173,Malawi,0.611,510,144.8,16.7,11.1,21.6,85,81.5
174,Ethiopia,0.558,420,78.4,25.5,7.8,18.2,78,89.3
175,Gambia,0.622,430,115.8,9.4,17.4,31.5,72,82.9
176,Congo (Democratic Republic of the),0.673,730,135.3,8.2,12.8,32.4,71,73.2
177,Liberia,0.651,640,117.4,10.7,15.4,39.3,58,64.8
178,Guinea-Bissau,0,560,99.3,13.7,0,0,68,78.5
179,Mali,0.677,550,175.6,9.5,7.7,15.1,51,81.4
180,Mozambique,0.591,480,137.8,39.6,1.4,6.2,86,82.8
181,Sierra Leone,0.65,1100,100.7,12.4,10,21.7,66,69
182,Guinea,0,650,131,21.9,0,0,66,78.3
183,Burkina Faso,0.631,400,115.4,13.3,0.9,3.2,77,90
184,Burundi,0.492,740,30.3,34.9,5.3,8.3,83,82
185,Chad,0.706,980,152,14.9,1.7,9.9,64,79.2
186,Eritrea,0,380,65.3,22,0,0,80,89.8
187,Central African Republic,0.655,880,98.3,12.5,10.1,26.7,73,85.1
188,Niger,0.713,630,204.8,13.3,2.4,7.8,40,89.7
,Arab States,0.537,155,45.4,14,34.7,47.6,23,75.3
,East Asia and the Pacific,0.328,72,21.2,18.7,54.7,66.3,63,79.4
,Europe and Central Asia,0.3,28,30.8,19,70.8,80.6,46,70
,Latin America and the Caribbean,0.415,85,68.3,27,54.3,55.2,54,79.8
,South Asia,0.536,183,38.7,17.5,29.1,54.6,30,80.3
,Sub-Saharan Africa,0.575,506,109.7,22.5,22.1,31.5,65,76.6
,World,0.449,210,47.4,21.8,54.5,65.4,50,76.7
